,Unnamed: 0,상품명,가격,상품번호,상품상태,브랜드,원산지,세부제품특징,사용부위,사용시간,제품형태,용량,용기형태,피부타입,주요제품특징,모델명,제조사,혜택조건,세트수량,반품안심케어 가입 안내,이벤트,제조일자,유효일자,기타,사은품,PA지수,자외선차단지수,성분,종류,세트구성,매수,구분,url
1887,0,더마픽스 퍼펙트 리얼 퍼포먼스 콜라겐 100 마스크 (8매),"208,000",4956606764,신상품,더마픽스,국산,"피부탄력, 밀착력, 피부결정돈, 영양공급",페이스용,,시트형,23ml(g),,모든피부용,"촉촉함(수분공급), 피부진정",퍼펙트 리얼 퍼포먼스 콜라겐 100 23g,코스맥스,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100528095/products/4956606764
1888,0,닥터앤코 이지에프 리페어 로션 피부과화장품 미백 기미 잡티 주름 저자극,"28,000",2345831923,신상품,,국산(대전광역시 유성구),"부드러운 발림, 흡수력",페이스용,"낮, 밤",로션형,,,모든피부용,"촉촉함(수분공급), 저자극",닥터앤코 이지에프 리페어 로션 피부과화장품 미백 기미 잡티 주름 저자극,,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100102634/products/2345831923
1889,0,이니스프리 화산송이 카밍 모공 클레이 마스크 100mL,"18,000",5563454632,신상품,이니스프리,한국,,,,,,,,"피부진정, 촉촉함(수분공급), 저자극",이니스프리 화산송이 카밍 모공 클레이 마스크 100mL,㈜코스비전,,,,"화산송이,필링클레이,각질,피지,블랙헤드,클레이",,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100550450/products/5563454632
1890,0,[오리진스] [홀리데이/1+1] [꿀잠 수면팩] 드링크업 마스크 75ml 세트,"39,000",6858524200,신상품,오리진스,미국산(이엘씨에이한국(유)),"영양공급, 피부탄력, 흡수력",,,,,,모든피부용,"촉촉함(수분공급), 피부진정",드링크업 인텐시브 마스크 75ml,오리진스,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/101599524/products/6858524200
1891,0,뮤스템 수딩 & 리페어 로션 200g + 클렌저 미니어처 20g 증정,"41,000",3808569055,신상품,,국산,,페이스용,"낮, 밤",,,펌프형,모든피부용,촉촉함(수분공급),,한솔,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100258677/products/3808569055
1892,0,이니스프리 화산송이 모공 바하 클렌징 오일 150mL,"23,000",6748350613,신상품,이니스프리,한국,"피지케어, 트러블케어, 블랙헤드케어, 모공케어, 각질케어",,,,150ml(g),,"모든피부용, 지복합, 지성","저자극, 세정력, 촉촉함(수분공급)",이니스프리 화산송이 모공 바하 클렌징 오일 150mL,코스비전,,,,"모공클렌징오일,화산송이,딥클렌징,블랙헤드,각질케어",,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100550450/products/6748350613
1893,0,메디앤서 콜라겐 퍼밍업 넥 마스크(1매),"5,000",3213487816,신상품,어바웃미,국산,"밀착력, 피부탄력, 저자극, 피부결정돈, 영양공급",넥,,시트형,9g,,모든피부용,"촉촉함(수분공급), 피부진정",,이미인,,,,,,,,"3만원 이상 구매 시, 비건인증 스킨전용 화장솜 증정(80매)",,,,,,,,https://shopping.naver.com/beauty/stores/100025957/products/3213487816
1894,0,[프랑스와즈]호호바오일 유기농 페이스오일50ml 1+1+1,"59,400",4579185509,신상품,프랑스와즈,독일산(독일),"피부탄력, 피부유연, 피부보호",페이스용,,,,,,흡수력,호호바오일 유기농 냉압착,네이처클리닉,,,,유럽 100년기업 직수입 천연화장품 NO.1  프랑스와즈,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100164998/products/4579185509
1895,0,정샘물 에센셜 물 라인 (물 크림 라이트 마스크 토너 스틱 글로우 립밤 외),"35,000",1000830503,신상품,정샘물,국산,"화이트닝, 주름케어, 안티에이징, 흡수력",페이스용,"낮, 밤",액상형,,,,촉촉함(수분공급),,코스맥스,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000007766/products/1000830503
1896,0,키오스킨 엘시스테인 멜라케어 앰플 10ml x 3ea - 7일 기적의 멜라케어 앰플,"79,000",6715452014,신상품,키오스킨,국산,"저자극, 피부강화, 화이트닝, 주름케어, 피부투명",페이스용,"낮, 밤",액상형,,,,"촉촉함(수분공급), 흡수력",키오스킨 엘시스테인 멜라케어 앰플,뉴앤뉴,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/101559689/products/6715452014
